threshold,precision,recall,f1,accuracy
0.0,0.65,1.0,0.79,0.65
0.06,0.65,1.0,0.79,0.65
0.11,0.65,1.0,0.79,0.65
0.17,0.65,1.0,0.79,0.65
0.22,0.67,1.0,0.8,0.68
0.28,0.68,0.99,0.8,0.69
0.33,0.68,0.99,0.81,0.7
0.39,0.7,0.97,0.81,0.71
0.44,0.72,0.96,0.82,0.73
0.5,0.74,0.95,0.83,0.75
0.56,0.76,0.89,0.82,0.75
0.61,0.77,0.84,0.8,0.73
0.67,0.78,0.74,0.76,0.7
0.72,0.81,0.68,0.74,0.69
0.78,0.84,0.47,0.6,0.59
0.83,0.85,0.28,0.42,0.5
0.89,0.86,0.16,0.27,0.44
0.94,1.0,0.04,0.08,0.38
1.0,0.0,0.0,0.0,0.35
